"Symbol","Name","Sector","Price","Dividend","EPS","Book Value","52 week low","52 week high","Market Cap"
"ORLY","O'Reilly Automotive","Consumer Discretionary",280.61,- 0,9.7,20.06,225.12,280.81,27.07
"OXY","Occidental Petroleum","Energy",76.13,3.03,-9.86,31.15,58.24,78.31,58.14
"OMC","Omnicom Group","Consumer Discretionary",83.12,1.97,4.49,9.99,64.12,85.95,19.76
"OKE","ONEOK","Energy",47.36,2.48,1.27,1.37,18.84,48.78,9.95
"ORCL","Oracle Corp.","Information Technology",40.87,0.60,2.03,11.45,33.13,42,168.5
"OI","Owens-Illinois Inc","Materials",17.44,- 0,0.8,1.84,11.58,24.05,2.82
"PCAR","PACCAR Inc.","Industrials",52.12,0.99,1.78,18.1,43.46,66.43,18.27
"PH","Parker-Hannifin","Industrials",111.33,2.59,5.39,37.3,83.32,117.78,14.99
"PDCO","Patterson Companies","Health Care",49.83,0.98,1.91,15.1,38.51,53.07,4.76
"PAYX","Paychex Inc.","Information Technology",61.33,1.86,2.09,5.3,41.59,61.5,22.1
"PYPL","PayPal","Information Technology",37.36,- 0,1.09,11.42,30,42.55,44.5
"PNR","Pentair Ltd.","Industrials",61.43,1.41,-0.47,22.6,41.57,65.63,11.1
"PBCT","People's United Financial","Financials",14.83,0.69,0.87,15.8,13.62,16.93,4.5
"PEP","PepsiCo Inc.","Consumer Staples",108.27,3.07,3.5,8.6,76.48,109,155.82
"PKI","PerkinElmer","Health Care",53.95,0.29,1.95,18.8,39.5,56.12,5.88
"PRGO","Perrigo","Health Care",93.73,0.58,-1.57,68.77,84.85,198.42,13.42
"PFE","Pfizer Inc.","Health Care",36.12,1.21,1.22,10.4,28.25,36.46,219.06
"PCG","PG&E Corp.","Utilities",64.83,1.97,1.94,33.52,47.33,65.43,32.16
"PM","Philip Morris International","Consumer Staples",103.09,4.13,4.24,-8.22,76.54,103.16,159.92
"PSX","Phillips 66","Energy",74.85,2.47,6.68,43.36,69.79,94.12,39.34
"PNW","Pinnacle West Capital","Utilities",81.17,2.51,3.82,41.39,57.33,82.78,9.02
"PXD","Pioneer Natural Resources","Energy",153.72,0.08,-3.04,59.23,103.5,171.88,25.14
"PBI","Pitney-Bowes","Industrials",17.8,0.77,1.94,0.64,16.24,21.81,3.36
"PNC","PNC Financial Services","Financials",80.62,2.07,7.31,83.52,77.4,100.52,40.26
"RL","Polo Ralph Lauren Corp.","Consumer Discretionary",93.25,2.03,4.62,45.16,82.15,137.38,7.73
"PPG","PPG Industries","Materials",106.32,1.65,5.27,19.4,82.93,118.27,28.29
"PPL","PPL Corp.","Utilities",37.46,1.53,0.76,14.43,29.18,39.92,25.36
"PX","Praxair Inc.","Materials",114.74,3.08,5.16,17.14,95.6,120.04,32.73
"PCLN","Priceline.com Inc","Consumer Discretionary",1329.46,- 0,50.81,182.37,954.02,1476.52,65.99
"PFG","Principal Financial Group","Financials",41.59,1.54,3.92,34.58,33.09,58.02,12.05
"PG","Procter & Gamble","Consumer Staples",85.77,2.81,3.17,21.84,65.02,85.95,228.31
"PGR","Progressive Corp.","Financials",33.69,0.90,2.09,12.97,27.23,35.54,19.64
"PLD","Prologis","Financials",49.55,1.68,1.38,27.72,35.25,50.74,26.03
"PRU","Prudential Financial","Financials",70.99,2.62,10.72,111.13,57.19,92.6,31.38
"PEG","Public Serv. Enterprise Inc.","Utilities",46.14,1.62,3.08,26.37,36.8,47.41,23.34
"PSA","Public Storage","Financials",257.34,7.00,6.23,29.29,195.46,277.6,44.62
"PHM","Pulte Homes Inc.","Consumer Discretionary",20.48,0.37,1.46,13.78,14.61,22.1,7.09
"PVH","PVH Corp.","Consumer Discretionary",97.32,0.17,8.34,60.04,64.16,120.67,7.87
"QRVO","Qorvo","Information Technology",56.02,- 0,-0.2,39.25,33.3,80.79,7.14
"QCOM","QUALCOMM Inc.","Information Technology",54.19,2.19,3.17,20.21,42.24,66.05,79.6
"PWR","Quanta Services Inc.","Industrials",24.36,- 0,1.53,19.76,16.77,28.98,3.68
"DGX","Quest Diagnostics","Health Care",82.23,1.62,5.16,32.88,59.66,82.42,11.63
"RRC","Range Resources Corp.","Energy",44.13,0.08,-5,16.04,19.21,47.95,7.35
"RTN","Raytheon Co.","Industrials",138.49,2.94,6.45,34.1,96.68,138.67,41.13
"O","Realty Income Corporation","Financials",69.91,2.35,1.07,24.23,43.15,71.92,17.55
"RHT","Red Hat Inc.","Information Technology",72.69,- 0,1.14,7.45,59.59,84.44,13.16
"REGN","Regeneron","Health Care",378.35,- 0,6.31,36.1,329.09,605.93,39.46
"RF","Regions Financial Corp.","Financials",8.44,0.27,0.79,12.86,7,10.87,10.69
"RSG","Republic Services Inc","Industrials",52.56,1.21,2.09,22.53,39.48,52.66,18.08
"RAI","Reynolds American Inc.","Consumer Staples",53.13,1.66,4.74,14.83,35.69,54.48,75.83
"RHI","Robert Half International","Industrials",38.66,0.90,2.75,8.08,34.34,58,5
"ROK","Rockwell Automation Inc.","Industrials",115.7,2.97,5.69,17.01,87.53,125.6,15.07
"COL","Rockwell Collins","Industrials",84.1,1.35,5.02,15.21,76.03,95.11,10.95
"ROP","Roper Industries","Industrials",170.04,1.22,6.79,53.77,150.91,195.93,17.21
"ROST","Ross Stores","Consumer Discretionary",58.19,0.55,2.55,6.36,43.47,59.68,23.25
"RCL","Royal Caribbean Cruises Ltd","Consumer Discretionary",68.38,1.54,3.29,36.54,64.21,103.4,14.72
"R","Ryder System","Industrials",64.64,1.71,5.76,38.08,45.12,93.86,3.47
"SPGI","S&P Global, Inc.","Financials",108.87,1.47,4.21,0.84,78.55,112.75,28.81
"CRM","Salesforce.com","Information Technology",80.89,- 0,-0.02,8.24,52.6,84.48,54.8
"SCG","SCANA Corp","Utilities",75.08,2.45,3.65,38.76,50.17,76.41,10.73
"SLB","Schlumberger Ltd.","Energy",78.74,2.02,1.26,28.23,59.6,86.61,98.61
"SNI","Scripps Networks Interactive Inc.","Consumer Discretionary",64.41,1.02,5.96,14.31,47.62,68.44,8.31
"STX","Seagate Technology","Information Technology",24.01,2.55,1.02,5.64,18.42,52.88,7.17
"SEE","Sealed Air Corp.(New)","Materials",47.03,0.63,1.62,2.85,38.02,55.84,9.27
"SRE","Sempra Energy","Utilities",114.11,3.05,4.9,47.83,86.72,114.66,28.5
"SHW","Sherwin-Williams","Materials",306.52,3.43,11.38,10.94,218.27,309,28.04
"SIG","Signet Jewelers","Consumer Discretionary",84.23,1.06,6.26,39.52,77,152.27,6.57
"SPG","Simon Property Group Inc","Financials",219.56,7.05,5.7,14.69,173.09,220.33,67.94
"SWKS","Skyworks Solutions","Information Technology",62.91,1.05,5.14,18.63,54.5,106.5,11.97
"SLG","SL Green Realty","Financials",105.98,2.96,2.49,70.4,80.12,121.94,10.62
"SJM","Smucker (J.M.)","Consumer Staples",154.08,2.70,5.76,60.26,104.3,154.71,17.94
"SNA","Snap-On Inc.","Consumer Discretionary",160.16,2.50,8.39,43.29,133.09,174.52,9.31
"SO","Southern Co.","Utilities",54.14,2.31,2.56,22.65,41.81,54.49,49.71
"LUV","Southwest Airlines","Industrials",40.54,0.41,3.4,11.74,32.94,51.34,25.89
"SWN","Southwestern Energy","Energy",12.87,- 0,-15.34,2.99,5,22.7,4.95
"SE","Spectra Energy Corp.","Energy",36.36,1.87,0.24,10.47,21.43,36.88,24.88
"STJ","St Jude Medical","Health Care",80.58,1.25,2.49,14.44,48.83,80.84,22.91
"SWK","Stanley Black & Decker","Consumer Discretionary",114.97,2.25,6.05,37.76,88.72,115.36,17.26
"SPLS","Staples Inc.","Consumer Discretionary",8.85,0.49,0.56,8.48,8,15.65,5.72
"SBUX","Starbucks Corp.","Consumer Discretionary",56.51,0.80,1.69,3.48,42.05,64,82.78
"HOT","Starwood Hotels & Resorts","Consumer Discretionary",76.7,1.53,2.83,7.93,56.87,86.96,13
"STT","State Street Corp.","Financials",53.23,1.39,4.38,47.51,50.6,81.26,21.08
"SRCL","Stericycle Inc","Industrials",104.7,- 0,2.89,33.08,91.05,151.57,8.89
"SYK","Stryker Corp.","Health Care",122.29,1.65,4.27,23.55,86.68,122.4,45.73
"STI","SunTrust Banks","Financials",41.44,0.97,3.64,44.97,31.07,45.84,20.94
"SYMC","Symantec Corp.","Information Technology",20.7,0.30,3.71,6.01,16.14,23.99,12.67
"SYF","Synchrony Financial","Financials",27.31,- 0,2.69,15.84,23.25,36.4,22.77
"SYY","Sysco Corp.","Consumer Staples",51.59,1.25,1.37,7.03,35.55,51.7,29.07
"TROW","T. Rowe Price Group","Financials",73.24,2.21,4.65,19.2,63.57,79.74,18.18
"TGT","Target Corp.","Consumer Discretionary",71.31,2.44,5.4,21.13,65.5,85.31,42.02
"TEL","TE Connectivity Ltd.","Information Technology",57.53,1.51,5.28,20.72,51.7,67.99,20.57
"TGNA","Tegna","Consumer Discretionary",23.64,0.56,1.91,9.92,21.11,32.93,5.14
